Compound,smiles,MW,Vol,Density,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,MP,BP,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,HLM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous,Molecule,Canonical SMILES,Formula,MW,Heavy atoms,Aromatic heavy atoms,Fsp3,nRot,nHA,nHD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski,Ghose,Veber,Egan,Muegge,Bioavailability Score,PAINS,Brenk,Leadlikeness,Synthetic Accessibility
TQ_D1,CC1=CC(=O)C([C@H]2CCCC2(C)C)=C(O)C1=O,234.13,249.4121792,0.938727213,3,1,54.37,1,2,6,3,0,13,0.076923077,1,1,0.71,3.428,0.571,36.818,2.216,"[(4, 3, 2, 1, 15, 16, 13, 5), (1, 2, 3, 4, 5)]",0,['-'],0,1,0,0,-4.284592318,3.057829464,3.031629377,145.5877135,298.0436788,7.64431894,3.77589283,-4.652639958,-4.586107055,0.60316515,0.827765167,0.044215512,0.730575919,0.205992162,0.852149308,0.959379978,0.998103499,0.998949111,0.149092615,0.908254921,0.015987033,0.677268326,96.46955107,-0.318560241,3.556846212,0.002360372,0.945162594,0.188751757,0.550167799,0.120601818,0.068657435,0.001519861,6.40E-06,0.04219941,0.781717241,0.029978367,0.000307567,0.385171205,0.87702626,2.616730121,1.286102881,1.946397335,4.728201494,6.508680509,5.914807125,0.063537337,0.318283409,0.383878708,0.443750262,0.565914273,0.705222785,0.905424237,0.636428833,0.56510514,0.977982998,0.87336576,0.692123711,0.167883962,0.297633052,0.611933827,0.47029686,0.379079103,0.074787989,0.054576144,0.367959946,0.004110659,0.001961763,0.000447102,0.233475119,0.145127729,0.183228105,0.000901799,0.858813941,0.011302527,0.621949852,0.251390427,0.944303334,4,5,0,0,"[(1,), (3,), (5, 13, 15, 14), (3,), (1,), (1, 0, 15, 2, 3, 4), (1, 0, 2, 3, 5, 4)]","[(1, 2, 3, 4, 5), (1, 2, 3, 4, 5, 13, 15, 16), (1,)]","[(1, 2, 3), (4, 3, 2, 1, 15, 16, 13, 5)]","[(1,), (1, 2, 3, 4, 5)]",0.212,0.906,0.199,0.084,0.853,0.855,0.233,TQ_D1,O=C1C=C(C)C(=O)C(=C1[C@H]1CCCC1(C)C)O,C14H18O3,234.29,17,0,0.57,1,3,1,65.95,54.37,n/d,2.91,2.72,1.31,2.91,2.46,-3.06,2.04E-01,8.71E-04,Soluble,-3.71,4.54E-02,1.94E-04,Soluble,-2.79,3.83E-01,1.64E-03,Soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-5.66,0,0,0,0,0,0.85,1,1,1,3.68
TQ_D2,CC1=CC(=O)C([C@@]2(C)CCC(=O)C2(C)C)=CC1=O,246.13,264.0717055,0.932057448,3,0,51.21,1,2,6,3,0,14,0.071428571,1,1,0.667,3.616,0.533,39.913,2.394,"[(4, 3, 2, 1, 16, 17, 15, 5), (1, 2, 3, 4, 5)]",0,['-'],0,0,0,0,-3.10381645,1.866231545,1.720825782,153.6875689,269.1567034,8.562722271,4.406974254,-4.662431179,-4.537246268,0.94575721,0.763823271,0.006319716,0.018510759,0.016003907,0.035458446,0.42703253,0.975969732,0.997941434,0.022715714,0.999651074,0.016218537,0.973925471,81.96779489,0.29657226,20.2573821,0.638916612,0.999915123,0.535526752,0.337032914,0.056269303,0.004812113,0.001861071,8.84E-08,0.407421798,0.998876512,0.124367297,0.016076408,0.972050011,0.961094201,9.308562812,0.79781506,0.810005907,3.433176513,4.808878003,4.312724485,0.045232464,0.300893009,0.351765275,0.58370626,0.586784482,0.788140476,0.893929064,0.708787322,0.610170126,0.980522573,0.687015891,0.758729219,0.568593621,0.27767837,0.714203179,0.46090129,0.955969214,0.118203938,0.055185825,0.398237556,0.034461003,0.751445472,0.043804884,0.970278203,0.194772601,0.09942919,0.033698197,0.831354439,0.273540527,0.472473383,0.120172769,0.960261822,4,4,0,0,"[(1,), (9, 10, 11, 12), (1,), (1, 0, 16, 2, 3, 4), (1, 0, 2, 3, 5, 4)]","[(1, 2, 3, 4, 5), (1, 2, 3, 4, 5, 15, 16, 17), (9, 10, 11, 12), (1,)]","[(1, 2, 3), (4, 3, 2, 1, 16, 17, 15, 5)]","[(1,), (1, 2, 3, 4, 5)]",0.217,0.318,0.332,0.151,0.976,0.534,0.329,TQ_D2,O=C1C=C(C)C(=O)C=C1[C@@]1(C)CCC(=O)C1(C)C,C15H18O3,246.3,18,0,0.53,1,3,0,69.12,51.21,n/d,1.75,2.41,1.48,3.58,2.3,-2.4,9.73E-01,3.95E-03,Soluble,-2.44,8.89E-01,3.61E-03,Soluble,-3.64,5.69E-02,2.31E-04,Soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-6.56,0,0,0,0,0,0.55,1,1,1,3.86
TQ_D3,CC1=CC(=O)C([C@@]2(C)CCCC2(C)C)=C(O)C1=O,248.14,266.7081645,0.930380217,3,1,54.37,1,2,6,3,0,13,0.076923077,1,1,0.725,3.594,0.6,41.083,2.212,"[(4, 3, 2, 1, 16, 17, 14, 5), (1, 2, 3, 4, 5)]",0,['-'],0,1,0,0,-4.245130756,2.964088216,3.09071478,169.7393215,304.5888712,7.751072094,4.104655791,-4.691626528,-4.607362178,0.768261611,0.830543518,0.054521844,0.264670491,0.170345545,0.78686215,0.987906577,0.997541666,0.998144388,0.216142818,0.972304761,0.081555501,0.97914505,90.963235,0.017094537,9.229435729,0.169265732,0.794250607,0.439303249,0.85118407,0.97649014,0.677387834,0.048084099,0.002631386,0.958018899,0.957710147,0.871700883,0.000326439,0.944501698,0.992071688,2.006811638,1.356650542,1.880695465,4.658571649,6.14449415,5.657714461,0.033291943,0.253591508,0.176790714,0.410744071,0.568454027,0.666147768,0.960178912,0.622519433,0.778656542,0.982478857,0.789872825,0.700548589,0.081222333,0.284979016,0.496733695,0.49674803,0.433539331,0.071368791,0.065165184,0.371632248,0.013588457,0.005508647,0.000185779,0.857588708,0.019897878,0.048321068,0.003935762,0.865228176,0.020619346,0.870616019,0.517938733,0.957461774,4,4,0,0,"[(1,), (3,), (5, 14, 16, 15), (3,), (1,), (1, 0, 16, 2, 3, 4), (1, 0, 2, 3, 5, 4)]","[(1, 2, 3, 4, 5), (1, 2, 3, 4, 5, 14, 16, 17), (1,)]","[(1, 2, 3), (4, 3, 2, 1, 16, 17, 14, 5)]","[(1,), (1, 2, 3, 4, 5)]",0.239,0.648,0.057,0.078,0.915,0.819,0.213,TQ_D3,O=C1C=C(C)C(=O)C(=C1[C@@]1(C)CCCC1(C)C)O,C15H20O3,248.32,18,0,0.6,1,3,1,70.49,54.37,n/d,3.45,3.11,1.57,3.39,2.88,-3.49,8.09E-02,3.26E-04,Soluble,-4.27,1.32E-02,5.33E-05,Moderately soluble,-3.39,1.01E-01,4.06E-04,Soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-5.37,0,0,0,0,0,0.85,1,1,1,3.79
TQ_D4,CC1=CC(=O)C([C@@]2(C)[C@H](O)CC(=O)C2(C)C)=CC1=O,262.12,272.8619325,0.960632352,4,1,71.44,1,2,6,4,0,14,0.071428571,2,1,0.725,4.094,0.533,42.261,2.446,"[(4, 3, 2, 1, 17, 18, 16, 5), (1, 2, 3, 4, 5)]",0,['-'],0,0,0,0,-2.112316404,1.191293405,0.91761497,188.2742172,294.3392456,7.878057431,3.433840066,-4.805553952,-4.507658924,0.994315565,0.494664937,0.073974364,0.422836125,0.168951333,0.452723086,0.964725081,0.990822554,0.999442518,0.009689483,0.99872154,0.006335727,0.929883063,73.33481723,0.382534409,25.78069448,0.00517239,0.069051795,0.01200208,0.001215165,0.011333217,0.00281057,0.001796828,1.39E-05,0.130594566,0.124455005,0.147333458,4.23E-09,0.642611444,0.948707163,11.05820049,1.135146047,0.611644303,3.239305453,4.701235491,4.130508127,0.043535743,0.282550037,0.595139027,0.781463742,0.657991409,0.688823342,0.920521557,0.614860415,0.145232394,0.975824952,0.821355283,0.746555865,0.562684,0.379372865,0.735592306,0.597882926,0.923892319,0.184539005,0.152598098,0.352271706,0.055207022,0.204965934,0.003262154,0.859060407,0.188938498,0.013157156,0.004057239,0.67818898,0.117527962,0.256339312,0.045365527,0.970926881,4,4,0,0,"[(1,), (10, 11, 12, 13), (1,), (1, 0, 17, 2, 3, 4), (1, 0, 2, 3, 5, 4)]","[(1, 2, 3, 4, 5), (1, 2, 3, 4, 5, 16, 17, 18), (9, 8, 6), (10, 11, 12, 13), (1,)]","[(1, 2, 3), (4, 3, 2, 1, 17, 18, 16, 5)]","[(1,), (1, 2, 3, 4, 5)]",0.156,0.318,0.423,0.039,0.733,0.274,0.561,TQ_D4,O=C1C=C(C)C(=O)C=C1[C@@]1(C)[C@H](O)CC(=O)C1(C)C,C15H18O4,262.3,19,0,0.53,1,4,1,70.28,71.44,n/d,0.78,1.38,0.63,2.69,1.37,-1.89,3.37E+00,1.28E-02,Very soluble,-1.86,3.61E+00,1.38E-02,Very soluble,-2.83,3.91E-01,1.49E-03,Soluble,0,1,No,n/d,n/d,n/d,n/d,n/d,-7.35,0,0,0,0,0,0.55,1,1,0,4.15
TQ_D5,CC(C)=CCC[C@H](C)C1=C(O)C(=O)C(C)=C(O)C1=O,264.14,281.4183914,0.93860248,4,2,74.6,4,1,6,4,0,9,0.444444444,1,1,0.604,3.576,0.467,22,2.349,"[(12, 11, 9, 8, 17, 18, 15, 13), (8, 9, 11, 12, 13)]",0,['-'],0,1,0,0,-4.077040035,3.132993512,3.17847138,140.1714517,299.4427428,5.999905513,4.117926901,-4.623019647,-4.675138042,0.87054199,0.591916978,0.106769964,0.555688381,0.320630252,0.931156702,0.996412972,0.994710088,0.999206126,0.111312099,0.645136297,0.008013487,0.994515836,95.5142236,-0.328025654,4.349244804,0.713760257,0.000925936,0.933948517,0.005794893,0.832393527,0.172050104,0.000634123,0.000451255,0.004850236,0.634590328,0.999998927,2.27E-09,0.996167123,0.068327576,2.297188958,1.629476276,1.660255917,4.481572168,5.831462933,5.395317375,0.025155522,0.051041149,0.638448417,0.239788026,0.340615511,0.078865655,0.865880251,0.330023825,0.724340916,0.983561933,0.745424628,0.640321553,0.149296924,0.521072149,0.589648902,0.698221743,0.161156952,0.054380566,0.009615445,0.016321147,0.486672252,0.000768381,0.001444104,0.239874229,0.080821931,0.01983298,0.028041992,0.943443298,0.018483836,0.318298489,0.862345338,0.991407037,4,1,0,0,"[(8,), (11,), (8, 9, 11, 10), (8,), (8, 6, 17, 9, 11, 12), (8, 6, 9, 11, 13, 12)]","[(8, 9, 11, 12, 13), (8, 9, 11, 12, 13, 15, 17, 18), (8,)]","[(8, 9, 11), (12, 11, 9, 8, 17, 18, 15, 13)]","[(8,), (8, 9, 11, 12, 13)]",0.284,0.418,0.136,0.239,0.876,0.899,0.433,TQ_D5,CC(=CCC[C@@H](C1=C(O)C(=O)C(=C(C1=O)O)C)C)C,C15H20O4,264.32,19,0,0.47,4,4,2,74.23,74.6,n/d,3.22,3.16,0.63,2.94,2.49,-3.24,1.51E-01,5.71E-04,Soluble,-4.46,9.18E-03,3.47E-05,Moderately soluble,-2.62,6.41E-01,2.43E-03,Soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-5.63,0,0,0,0,0,0.85,1,2,0,3.83
TQ_D6,CC1=C(O)C(=O)C([C@@]2(C)CC(=O)CC2(C)C)=C(O)C1=O,278.12,281.6521594,0.987459143,5,2,91.67,1,2,6,5,0,14,0.071428571,1,1,0.717,3.839,0.533,44.609,1.977,"[(5, 4, 2, 1, 18, 19, 16, 6), (1, 2, 4, 5, 6)]",0,['-'],0,0,0,0,-2.513197736,1.081995053,0.759106643,229.5474497,299.5954708,5.458050816,2.21235951,-4.574627551,-4.629882431,0.877740026,0.834489763,0.0190823,0.49015522,0.035640538,0.877626806,0.998703189,0.999867439,0.99999547,0.15356569,0.890170515,0.001719078,0.979356349,78.60943884,-0.299821311,22.76305023,0.00103906,0.859509587,0.117184781,0.947438717,0.503512681,0.967084527,0.002001233,9.38E-05,0.055437732,0.986506045,0.001555015,0.009169384,0.500936508,0.933335423,2.424485142,1.694168051,0.612527483,3.266140756,4.631354609,3.979203017,0.011012116,0.030695911,0.590547979,0.373564065,0.539061844,0.148790315,0.767011881,0.440801233,0.244859323,0.957182288,0.546738863,0.608846545,0.11191266,0.493617326,0.677812815,0.754676402,0.823372245,0.054599855,0.007690107,0.038240861,0.067573339,0.000122105,1.90E-05,0.574163795,0.01152927,0.00206575,0.000267571,0.770602465,0.001306372,0.08861886,0.195422739,0.99079448,4,1,0,0,"[(1,), (4,), (9, 10, 11, 12), (1, 2, 4, 3), (1,), (1, 0, 18, 2, 4, 5), (1, 0, 2, 4, 6, 5)]","[(1, 2, 4, 5, 6), (1, 2, 4, 5, 6, 16, 18, 19), (9, 10, 11, 12), (1,)]","[(1, 2, 4), (5, 4, 2, 1, 18, 19, 16, 6)]","[(1,), (1, 2, 4, 5, 6)]",0.47,0.003,0.159,0.102,0.697,0.866,0.115,TQ_D6,O=C1CC([C@@](C1)(C)C1=C(O)C(=O)C(=C(C1=O)O)C)(C)C,C15H18O5,278.3,20,0,0.53,1,5,2,72.27,91.67,n/d,1.36,2.18,-0.2,2.58,1.48,-2.36,1.23E+00,4.40E-03,Soluble,-2.89,3.61E-01,1.30E-03,Soluble,-2.92,3.37E-01,1.21E-03,Soluble,0,1,No,n/d,n/d,n/d,n/d,n/d,-7.03,0,0,0,0,0,0.56,1,1,0,3.98
TQ_D7,CC(CO)CCCC(C)(O)C1=CC(=O)C(CO)=CC1=O,282.15,292.8450773,0.963478719,5,3,94.83,7,1,6,5,0,8,0.875,2,1,0.592,3.984,0.6,22,1.916,"[(13, 12, 11, 10, 18, 19, 17, 14), (10, 11, 12, 13, 14)]",0,['-'],0,0,0,0,-1.908925527,1.026348819,1.154492951,75.62456238,283.3315559,9.425980593,6.949794438,-4.933386422,-4.616290697,0.995455861,0.005701026,0.005064824,0.980122592,0.136723518,0.961440809,0.916825399,0.468531519,0.9903813,0.002506106,0.422897011,0.007293495,0.815933108,40.3096201,-0.054751701,60.9440062,0.00041663,0.024125353,1.41E-05,0.000175475,2.56E-05,0.118049182,2.20E-06,0.000242911,0.008043575,0.00143366,0.00023834,1.21E-09,0.098595098,0.402466506,7.157229951,1.275583063,0.556472792,3.244393388,4.989557796,4.006107729,0.02549533,0.16850695,0.413428992,0.831005156,0.181332752,0.469087005,0.962399364,0.873726845,0.005590699,0.912980258,0.304217398,0.842156053,0.179020986,0.55215627,0.820662141,0.516807497,0.921081901,0.154715329,0.063570768,0.324811041,0.003821919,0.030855201,0.002265911,0.075608201,0.06353727,0.001305393,0.000539565,0.693424523,0.000892938,0.062644124,0.005382857,0.245563462,4,4,0,0,"[(10,), (10,), (10, 7, 18, 11, 12, 13), (10, 7, 11, 12, 14, 13), (18,)]","[(10, 11, 12, 13, 14), (10, 11, 12, 13, 14, 17, 18, 19), (3, 2, 1), (10,)]","[(10, 11, 12), (13, 12, 11, 10, 18, 19, 17, 14)]","[(10,), (10, 11, 12, 13, 14), (17, 14, 15, 16)]",0.025,0.337,0.158,0.189,0.648,0.128,0.352,TQ_D7,OCC(CCCC(C1=CC(=O)C(=CC1=O)CO)(O)C)C,C15H22O5,282.33,20,0,0.6,7,5,3,75.08,94.83,n/d,0.79,0.53,-0.12,2.15,0.84,-1.63,6.68E+00,2.37E-02,Very soluble,-2.36,1.23E+00,4.34E-03,Soluble,-1.99,2.86E+00,1.01E-02,Soluble,0,0,Yes,n/d,n/d,n/d,n/d,n/d,-7.46,0,0,0,0,0,0.55,1,1,0,4.1
TQ_D8,CC(C)C1=C(O)C(=O)C(/C=C/c2ccccc2)=C(N)C1=O,283.12,301.7510597,0.938256854,4,3,80.39,3,2,6,4,0,15,0.2,0,0,0.835,2.788,0.176,28,0.901,"[(7, 6, 4, 3, 19, 20, 17, 8), (3, 4, 6, 7, 8)]",0,['-'],0,0,0,0,-4.27495328,2.68986941,2.677127344,175.7325824,311.3370556,7.004442217,4.315006517,-4.692730798,-4.76171279,0.28820619,0.535697639,0.002642756,0.054314494,0.242683351,0.880233206,0.910876319,0.985963047,0.997277081,0.000934825,0.955341458,0.021772161,0.898888946,97.24004669,0.001256585,2.465421169,0.999994874,2.32E-07,0.91700834,7.55E-08,0.990631163,0.002515978,0.000329882,7.71E-06,1.94E-05,1.49E-08,0.965491712,8.67E-10,1,0.119892366,4.670530185,1.035910991,1.367551393,4.383027057,5.489915655,5.224022248,0.078655995,0.167553753,0.878330886,0.725714743,0.342481852,0.359640986,0.809458375,0.59377569,0.003220076,0.763202012,0.310862809,0.857279718,0.276481032,0.447478712,0.787491262,0.764277041,0.989273608,0.12171676,0.032683406,0.230692029,0.888184071,0.013449731,0.012733895,0.759466588,0.908362329,0.065771535,0.032216631,0.987555444,0.4824889,0.206069455,0.96832037,0.778504252,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 1, 19, 4, 6, 7), (3, 1, 4, 6, 8, 7), (9, 10, 11), (10, 9, 8, 17, 19)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 17, 19, 20), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 19, 20, 17, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.962,0.998,0.779,0.827,0.347,0.315,0.379,TQ_D8,NC1=C(/C=C/c2ccccc2)C(=O)C(=C(C1=O)C(C)C)O,C17H17NO3,283.32,21,6,0.18,3,3,2,81.41,80.39,n/d,2.83,2.42,0.88,2.9,2.26,-3.39,1.15E-01,4.05E-04,Soluble,-4.18,1.89E-02,6.67E-05,Moderately soluble,-3.76,4.96E-02,1.75E-04,Soluble,0,1,No,n/d,n/d,n/d,n/d,n/d,-6.02,0,0,0,0,0,0.56,1,1,0,3.56
TQ_D9,CC(C)C1=C(O)C(=O)C2=C(CCC3C2CCCC3(C)C)C1=O,302.19,327.3356464,0.923180849,3,1,54.37,1,3,14,3,0,18,0.055555556,2,1,0.741,3.84,0.684,52.5,2.462,"[(7, 6, 4, 3, 20, 21, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,1,0,0,-4.882665013,3.847132543,3.987744625,172.2271507,319.9938915,7.527907015,4.014984735,-4.697635475,-4.844259857,0.122146778,0.901689947,0.000295202,0.862437442,0.249933004,0.981646201,0.99567711,0.982213378,0.998599589,0.004387341,0.995107651,0.007319857,0.959947169,97.56771106,0.250213057,2.774119525,0.936582804,0.00140915,0.871981263,0.008204585,0.999142885,0.021136476,0.014886443,0.001518295,0.005402968,2.62E-05,0.0366804,0.000274524,0.971730888,0.996903002,3.142418135,1.261354922,2.219412926,4.967149939,6.628950597,6.312311621,0.038068667,0.235407352,0.611194074,0.331685692,0.329310954,0.675758064,0.431929499,0.778155029,0.01196819,0.360128254,0.658022702,0.808066845,0.109217964,0.713402867,0.693431854,0.600995362,0.15713723,0.07975062,0.044377461,0.369309306,0.001589079,0.013092627,0.000375968,0.178327546,0.104086995,0.021725189,0.000389237,0.763998032,0.001120172,0.009198247,0.444863409,0.099738114,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 1, 20, 4, 6, 7), (3, 1, 4, 6, 8, 7)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 20, 21), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 20, 21, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.074,0.078,0.05,0.104,0.516,0.766,0.174,TQ_D9,O=C1C2=C(CCC3C2CCCC3(C)C)C(=O)C(=C1O)C(C)C,C19H26O3,302.41,22,0,0.68,1,3,1,87.87,54.37,n/d,4.51,4.14,2.53,4,3.79,-4.49,9.78E-03,3.23E-05,Moderately soluble,-5.37,1.28E-03,4.24E-06,Moderately soluble,-4.02,2.88E-02,9.53E-05,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-4.94,0,0,0,0,0,0.85,1,1,1,4.44
TQ_D10,CC1=CC(=O)C2=C(C1=O)[C@H](O)[C@H]1[C@@H](CC[C@@]1(C)O)C2(C)C,290.15,301.5339029,0.96224669,4,2,74.6,0,3,13,4,0,17,0,4,1,0.664,4.415,0.647,57.5,2.375,"[(4, 3, 2, 1, 7, 8, 6, 5), (1, 2, 3, 4, 5)]",0,['-'],0,0,0,0,-3.313510248,2.247806684,1.933039666,196.3628918,298.6198547,7.504399123,5.023793638,-4.992781761,-4.777138617,0.970361948,0.352974653,0.20886749,0.215174198,0.097318411,0.295854867,0.889230788,0.992141366,0.986420751,0.000921458,0.995319307,0.001482949,0.970398307,53.79192521,0.072909181,48.21004076,0.471387953,0.488609493,0.086988606,0.001461214,0.009706037,8.12E-05,0.004158621,1.95E-05,0.010894057,0.631935835,0.083267808,4.28E-11,0.811474025,0.160904124,9.833474484,1.650700284,0.967553236,3.560468787,5.073286393,4.406273339,0.037031446,0.293707669,0.480143428,0.571394384,0.681098402,0.833809257,0.99263978,0.901560724,0.505482137,0.981737912,0.79408294,0.863052666,0.208289266,0.302573681,0.734636962,0.591502011,0.744289041,0.080494881,0.114206001,0.538251162,0.102322049,0.044504017,0.001434094,0.970976949,0.027135268,0.076848432,0.004687677,0.858808935,0.096913345,0.775772452,0.445776612,0.996399522,4,4,0,0,"[(1,), (3,), (3,), (1,), (1, 0, 7, 2, 3, 4), (1, 0, 2, 3, 5, 4)]","[(1, 2, 3, 4, 5), (1, 2, 3, 4, 5, 6, 7, 8), (10, 9, 11), (1,)]","[(1, 2, 3), (4, 3, 2, 1, 7, 8, 6, 5)]","[(1,), (1, 2, 3, 4, 5)]",0.36,0.36,0.164,0.001,0.398,0.413,0.43,TQ_D10,O[C@H]1C2=C(C(=O)C=C(C2=O)C)C([C@H]2[C@H]1[C@](C)(O)CC2)(C)C,C17H22O4,290.35,21,0,0.65,0,4,2,79.04,74.6,n/d,1.05,1.56,1.21,2.35,1.54,-2.3,1.45E+00,4.99E-03,Soluble,-2.21,1.80E+00,6.20E-03,Soluble,-2.66,6.31E-01,2.17E-03,Soluble,0,1,Yes,n/d,n/d,n/d,n/d,n/d,-7.33,0,0,0,0,0,0.55,1,1,0,4.61
